apps_sydney_2017/data/country_data/br	year	month	day	focal_depth	magnitute	country	location_name	latitude	longitude	deaths	missing	injuries	damage_millions_dollars			damage_description	houses_destroyed	houses_destroyed_description	houses_damaged	houses_damaged_description	total_deaths	total_deaths_description	total_missing	total_missing_description	total_injuries	total_injuries_description	total_damage_millions_dollars	total_damage_range	total_damage_description	total_houses_destroyed	total_houses_damaged
	2009	8	30	82	5.2	myanmar (burma)	myanmar (burma);  india:  sibsagar	25.28	95.101							1												Less than $1 Million	1		
	2009	9	2	46	7	indonesia	indonesia:  java	-7.782	107.297	81		1297				3					81	2			1297	3		~$5 to $24 Million	3		54000
	2009	9	6	15	6	georgia	georgia:  northwestern	42.66	43.443			1				2									1	1		~$1 to $5 Million	2		1000
	2009	9	12	10	6.3	venezuela	venezuela:  carabobo	10.705	-67.92			18				1			17	1					18	1		Less than $1 Million	1		17
	2009	9	18	10	5.7	philippines	philippines:  cotabato, sultan kudarat	6.513	124.715			91				1									91	2		Less than $1 Million	1		76
	2009	9	18	79	5.7	indonesia	indonesia:  bali:  denpasar	-9.138	115.593			7				1				2					7	1		Less than $1 Million	1		
	2009	9	21	14	6.1	bhutan	bhutan:  tashigang	27.332	91.437	11						3		3		3	11	1				3		~$5 to $24 Million	3		
	2009	9	22	0	3.1	australia	australia:  mornington	-38.28	145.25							1												Less than $1 Million	1		
Tsu	2009	9	29	18	8.1	samoa	samoa islands	-15.489	-172.095												192	3			7	1	285	$25 Million or more	4		
Tsu	2009	9	30	81	7.5	indonesia	indonesia:  sumatra:  padang	-0.72	99.867	1117		1214	2200			4		3	181665	4	1117	4			1214	4	2200	$25 Million or more	4		181665
	2009	10	1	10	6.6	indonesia	indonesia:  sumatra:  southern:  kerinci	-2.515	101.501	3			10			3		3		3	3	1					10	~$5 to $24 Million	3		
Tsu	2009	10	7	45	7.6	vanuatu	vanuatu islands	-13.006	166.51																			#N/A			
	2009	10	7	35	7.8	solomon islands	solomon islands:  santa cruz islands	-12.517	166.382																			#N/A			
	2009	10	9	35	5.4	ecuador	ecuador:  tena	-0.962	-77.817							1												Less than $1 Million	1		
	2009	10	22	18	6.1	afghanistan	afghanistan:  hindu kush	36.517	70.95	5						1					5	1						Less than $1 Million	1		
	2009	10	29	26	5.3	bhutan	bhutan:  mongar, pemagatsel, tashigang	27.262	91.417							2	1	1	1	1								~$1 to $5 Million	2	1	116
	2009	11	1	25	4.9	china	china:  yunnan province	25.962	100.825			28					1000	3	1000	3					28	1		#N/A		1000	30000
