city_name	latitude	longitude	feature_class	feature_code	country_code	population	elevation	average_elevation	timezone		
Art Khwajah	37.08571	69.47958	P	PPL	AF	18623		481	Asia/Kabul		
`Alaqahdari Atghar	31.73506	67.3574	P	PPLA2	AF	0		1827	Asia/Kabul		
Asmar	35.03333	71.35809	P	PPLA2	AF	15708		913	Asia/Kabul		
Ashkasham	36.68333	71.53333	P	PPL	AF	12120		3057	Asia/Kabul		
Asadabad	34.87311	71.14697	P	PPLA	AF	48400		837	Asia/Kabul		
Aqchah	36.905	66.18341	P	PPLA2	AF	0		293	Asia/Kabul		
Andkhoy	36.95293	65.12376	P	PPLA2	AF	29208		306	Asia/Kabul		
'Unabah	35.23251	69.37719	P	PPLA2	AF	0		1770	Asia/Kabul		
Anar Darah	32.7587	61.65397	P	PPLA2	AF	10023		778	Asia/Kabul		
Amanzi	30.21144	66.04765	P	PPLA2	AF	0		993	Asia/Kabul		
`Alaqahdari-ye Almar	35.84616	64.53074	P	PPLA2	AF	0		840	Asia/Kabul		
`Ali Sher `Alaqahdari	33.4362	70.06711	P	PPLA2	AF	0		1082	Asia/Kabul		
Wuluswali `Alingar	34.83529	70.3593	P	PPLA2	AF	0		937	Asia/Kabul		
`Ali Khel	33.94253	69.71908	P	PPLA2	AF	0		2144	Asia/Kabul		
`Alaqahdari Yosuf Khel	33.05195	68.65	P	PPLA2	AF	0		2239	Asia/Kabul		
`Alaqahdari Dishu	30.43206	63.29802	P	PPLA2	AF	9196		596	Asia/Kabul		
Alah Say	34.8965	69.72049	P	PPLA2	AF	0		1602	Asia/Kabul		
Pachir wa Agam	34.20011	70.27806	P	PPLA2	AF	0		1241	Asia/Kabul		
Afaki	36.66172	69.35095	P	PPLA2	AF	0		711	Asia/Kabul		
Adraskan	33.64573	62.26959	P	PPLA2	AF	0		1352	Asia/Kabul		
Ab-e Kamari	35.08796	63.0678	P	PPLA2	AF	0		760	Asia/Kabul		
Khadir	33.92232	65.93398	P	PPLA2	AF	0		2462	Asia/Kabul		
Ghulam `Ali	34.95076	69.2287	P	PPLA2	AF	0		1489	Asia/Kabul		
Qarah Bagh Bazar	34.8529	69.17062	P	PPLA2	AF	0		1531	Asia/Kabul		
Zargaran	34.78764	69.05878	P	PPLA2	AF	0		1935	Asia/Kabul		
Surkh Bilandi	34.68474	69.02863	P	PPLA2	AF	0		2040	Asia/Kabul		
Pul-e Sangi	34.59972	69.25993	P	PPLA2	AF	0		1776	Asia/Kabul		
Langar	35.99474	68.05081	P	PPLA2	AF	0		1440	Asia/Kabul		
Bagh-e Maidan	35.22156	69.21397	P	PPLA2	AF	0		1988	Asia/Kabul		
Ibrahim Khan	35.05352	69.25654	P	PPLA2	AF	0		1491	Asia/Kabul		
Qaranghu Toghai	37.21528	67.63972	P	PPLA2	AF	0		301	Asia/Kabul		
Bazarak	35.31292	69.51519	P	PPLA	AF	65000		1965	Asia/Kabul		
Sherwani-ye Bala	35.01468	69.59934	P	PPLA2	AF	0		1786	Asia/Kabul		
Kiraman	35.2973	69.68125	P	PPLA2	AF	0		2527	Asia/Kabul		
`Alaqahdari Sarobi	32.79331	69.0866	P	PPLA2	AF	0		2400	Asia/Kabul		
Zerok-Alakadari	33.15806	69.31278	P	PPLA2	AF	0		2336	Asia/Kabul		
Kushkak	32.28991	61.52194	P	PPLA2	AF	0		612	Asia/Kabul		
Khayr Kot	32.85355	68.44971	P	PPLA2	AF	0		2126	Asia/Kabul		
Chowney	33.38278	66.27233	P	PPLA2	AF	0		1347	Asia/Kabul		
Wutahpur	34.91914	71.09863	P	PPLA2	AF	0		872	Asia/Kabul		
Karbori	34.96597	71.2746	P	PPLA2	AF	0		884	Asia/Kabul		
Sultanpur-e `Ulya	34.41204	70.29634	P	PPLA2	AF	0		696	Asia/Kabul		
